GM102B_rel,GM302B_rel,GM502B_rel,GM702B_rel,color,source
-5,1,0,-2,purple,air
-5,1,0,-2,purple,air
-5,1,0,-2,purple,air
-5,1,0,-2,purple,air
-5,1,0,-2,purple,air
-5,1,0,-2,purple,air
-5,1,0,-2,purple,air
-5,1,0,-2,purple,air
-5,2,0,-2,purple,air
-5,1,0,-2,purple,air
-5,2,-1,-2,purple,air
0,0,0,0,purple,air
0,0,0,1,purple,air
0,0,0,1,purple,air
0,-1,0,1,purple,air
1,-1,0,1,purple,air
2,-1,0,2,purple,air
2,-1,0,2,purple,air
2,0,0,2,purple,air
2,1,0,2,purple,air
2,1,1,2,purple,air
2,1,1,2,purple,air
2,1,1,2,purple,air
1,0,1,1,purple,air
1,0,1,2,purple,air
1,0,1,1,purple,air
0,0,1,1,purple,air
0,0,1,1,purple,air
0,1,1,1,purple,air
0,1,1,0,purple,air
0,1,1,1,purple,air
-1,1,1,0,purple,air
-1,1,1,0,purple,air
-1,1,1,0,purple,air
-1,1,1,1,purple,air
-2,1,1,0,purple,air
-2,1,1,0,purple,air
-2,1,0,1,purple,air
-2,1,0,1,purple,air
-2,1,0,0,purple,air
-2,1,0,1,purple,air
-2,1,0,1,purple,air
-2,1,1,0,purple,air
-2,1,1,0,purple,air
-2,2,1,0,purple,air
-4,1,0,0,purple,air
-4,1,0,0,purple,air
-4,1,0,0,purple,air
-4,1,0,0,purple,air
-4,1,0,0,purple,air
-4,1,0,0,purple,air
-4,1,0,0,purple,air
-5,1,0,0,purple,air
-4,1,0,0,purple,air
-5,1,0,-1,purple,air
-5,1,-1,-1,purple,air
-5,1,-1,-1,purple,air
-4,1,-1,0,purple,air
-4,1,-1,0,purple,air
-4,1,-1,0,purple,air
-4,1,-1,0,purple,air
-4,1,-1,-1,purple,air
